ACTUAL_AREA,ACTUAL_WORTH,AREA_EN,INSTANCE_DATE,PROCEDURE_AREA,PROCEDURE_NUMBER,PROCEDURE_YEAR,PROPERTY_TOTAL_VALUE,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN,ROW_STATUS_CODE
1178.1,4800000,Al Warqa Second,2026-03-17T12:54:53,1178.1,1540,2026,4800000,Land,Residential,COMPLETED
1114.84,4800000,Al Barshaa South First,2026-03-06T10:46:53,1114.84,1405,2026,4800000,Land,Residential,COMPLETED
2230,4800699,Al Qusais Industrial First,2026-03-25T14:35:27,2230,1629,2026,4800699,Land,Residential,COMPLETED
1393.55,5000000,Nad Al Hamar,2026-03-30T13:50:40,1393.55,1674,2026,5000000,Land,Residential,COMPLETED
1337.06,5037193,Mirdif,2026-03-25T15:48:41,1337.06,1630,2026,5037193,Land,Residential,COMPLETED
469.71,5055911,Mankhool,2026-03-05T10:25:03,469.71,1386,2026,5055911,Land,,COMPLETED
314.66,5122395.34,Al Hebiah First,2026-03-30T14:42:10,314.66,1679,2026,5122395,Unit,Office,COMPLETED
1380.93,5202467,Mirdif,2026-03-28T10:39:27,1380.93,1661,2026,5202467,Land,Residential,COMPLETED
638.14,5495100,Wadi Al Safa 7,2026-03-26T10:54:38,638.14,1639,2026,5495100,Land,Residential,COMPLETED
1393.55,5500000,Muhaisanah Third,2026-03-31T09:57:25,1393.55,1693,2026,5500000,Land,Residential,COMPLETED
224.18,5500000,Abu Hail,2026-03-31T09:50:24,224.18,1688,2026,5500000,Land,Residential,COMPLETED
369.65,5600000,Madinat Al Mataar,2026-03-10T12:24:03,369.65,1447,2026,5600000,Building,Villa,COMPLETED
900.98,5818835,Al Khawaneej First,2026-03-10T12:19:53,900.98,1446,2026,5818835,Land,Residential,COMPLETED
900.98,5818835,Al Khawaneej First,2026-03-10T12:25:01,900.98,1448,2026,5818835,Land,Residential,COMPLETED
2784.4,5994201,Al Layan1,2026-03-17T12:28:07,2784.4,1537,2026,5994201,Land,Industrial,COMPLETED
1858.06,5999992,Muhaisanah Second,2026-03-25T09:32:33,1858.06,1617,2026,5999992,Land,Industrial,COMPLETED
669,6000000,Al Bada,2026-03-10T12:34:02,669,1449,2026,6000000,Land,Residential,COMPLETED
629.55,6098772,Al Murqabat,2026-03-03T12:41:50,629.55,1362,2026,6098772,Land,Commercial,COMPLETED
1393.57,6200000,Nad Al Hamar,2026-03-24T11:08:10,1393.57,1600,2026,6200000,Land,Residential,COMPLETED
1058,6263513,Saih Shuaib 1,2026-03-04T10:34:32,1058,1098,2026,6263513,Land,,COMPLETED
1481.8,6379979,Al Khabeesi,2026-03-25T09:45:04,1481.8,1618,2026,6379979,Land,Commercial,COMPLETED
1393.55,6500000,Muhaisanah Third,2026-03-31T09:53:16,1393.55,1691,2026,6500000,Land,Residential,COMPLETED
1381.1,7000000,Al Goze First,2026-03-15T12:11:45,1381.1,1500,2026,7000000,Land,Residential,COMPLETED
1472.51,7000000,Al Hudaiba,2026-03-03T10:42:32,1472.51,1355,2026,7000000,Land,Residential,COMPLETED
668.9,7000000,Al Bada,2026-03-02T10:56:38,668.9,1340,2026,7000000,Land,Residential,COMPLETED
369.98,7286066.16,Marsa Dubai,2026-03-16T10:45:45,369.98,1509,2026,7286066,Unit,Flat,COMPLETED
600.02,7500000,Jabal Ali First,2026-03-12T10:14:11,600.02,1467,2026,7500000,Land,Commercial,COMPLETED
